id ,cella,distance_cQsW,distance_kpOU,distance_94gJ,distance_Cvj5,distance_cGTg,distance_At5a
123,4,245.425873323,-1000,188.440101185,80.4269627373,157.195299519,96.4021832657
124,4,245.425873323,-1000,157.195299519,80.4269627373,143.341061043,108.238520426
125,4,344.39823094,-1000,157.195299519,72.7272827591,157.195299519,96.4021832657
126,4,267.494282385,-1000,188.440101185,110.117225343,172.201474334,108.238520426
127,4,316.866291585,-1000,188.440101185,80.4269627373,172.201474334,96.4021832657
128,4,245.425873323,-1000,157.195299519,97.9828244441,245.425873323,96.4021832657
129,4,291.270683048,-1000,188.440101185,107.949509988,245.425873323,108.238520426
130,4,245.425873323,-1000,188.440101185,110.117225343,245.425873323,108.238520426
131,4,344.39823094,-1000,157.195299519,72.7272827591,172.201474334,108.238520426
132,4,316.866291585,-1000,157.195299519,107.949509988,130.562632641,96.4021832657
133,4,316.866291585,-1000,157.195299519,88.8276150856,157.195299519,96.4021832657
134,4,316.866291585,-1000,172.201474334,110.117225343,157.195299519,96.4021832657
135,4,291.270683048,-1000,188.440101185,110.117225343,172.201474334,96.4021832657
136,4,245.425873323,-1000,172.201474334,88.8276150856,188.440101185,96.4021832657
137,4,267.494282385,-1000,157.195299519,110.117225343,157.195299519,96.4021832657
138,4,344.39823094,-1000,157.195299519,72.7272827591,245.425873323,96.4021832657
139,4,344.39823094,-1000,157.195299519,80.4269627373,245.425873323,96.4021832657
140,4,267.494282385,-1000,157.195299519,97.9828244441,172.201474334,108.238520426
141,4,344.39823094,-1000,188.440101185,80.4269627373,245.425873323,96.4021832657
142,4,344.39823094,-1000,157.195299519,110.117225343,245.425873323,96.4021832657
143,4,344.39823094,-1000,157.195299519,110.117225343,245.425873323,108.238520426
144,4,291.270683048,-1000,157.195299519,88.8276150856,245.425873323,96.4021832657
145,4,344.39823094,-1000,188.440101185,97.9828244441,172.201474334,108.238520426
146,4,245.425873323,-1000,188.440101185,65.6781692211,172.201474334,96.4021832657
147,4,316.866291585,-1000,172.201474334,110.117225343,172.201474334,96.4021832657
148,4,267.494282385,-1000,172.201474334,80.4269627373,172.201474334,96.4021832657
149,4,316.866291585,-1000,188.440101185,88.8276150856,130.562632641,96.4021832657
150,4,344.39823094,-1000,172.201474334,97.9828244441,157.195299519,96.4021832657
151,4,316.866291585,-1000,172.201474334,110.117225343,157.195299519,96.4021832657
152,4,291.270683048,-1000,172.201474334,97.9828244441,157.195299519,96.4021832657
153,4,291.270683048,-1000,172.201474334,97.9828244441,143.341061043,108.238520426
154,4,344.39823094,-1000,172.201474334,110.117225343,245.425873323,108.238520426
155,4,267.494282385,-1000,188.440101185,72.7272827591,130.562632641,108.238520426
156,4,344.39823094,-1000,188.440101185,110.117225343,130.562632641,108.238520426
157,4,344.39823094,-1000,188.440101185,107.949509988,143.341061043,108.238520426
158,4,344.39823094,-1000,188.440101185,65.6781692211,143.341061043,96.4021832657
159,4,344.39823094,-1000,188.440101185,65.6781692211,143.341061043,96.4021832657
160,4,267.494282385,-1000,157.195299519,88.8276150856,245.425873323,96.4021832657
161,4,316.866291585,-1000,172.201474334,110.117225343,245.425873323,96.4021832657
162,4,344.39823094,-1000,188.440101185,107.949509988,130.562632641,96.4021832657
163,4,291.270683048,-1000,172.201474334,107.949509988,245.425873323,96.4021832657
164,4,344.39823094,-1000,172.201474334,72.7272827591,143.341061043,96.4021832657
165,4,291.270683048,-1000,172.201474334,110.117225343,188.440101185,96.4021832657
166,4,291.270683048,-1000,157.195299519,110.117225343,143.341061043,108.238520426
167,4,291.270683048,-1000,172.201474334,65.6781692211,130.562632641,108.238520426
168,4,316.866291585,-1000,172.201474334,110.117225343,130.562632641,96.4021832657
169,4,316.866291585,-1000,172.201474334,110.117225343,130.562632641,96.4021832657
170,4,316.866291585,-1000,157.195299519,110.117225343,143.341061043,96.4021832657
171,4,316.866291585,-1000,188.440101185,110.117225343,245.425873323,96.4021832657
172,4,267.494282385,-1000,188.440101185,80.4269627373,157.195299519,108.238520426
173,5,188.440101185,-1000,267.494282385,172.201474334,157.195299519,177.85235739
174,5,157.195299519,-1000,267.494282385,118.788086762,118.788086762,177.85235739
175,5,143.341061043,-1000,245.425873323,172.201474334,157.195299519,177.85235739
176,5,188.440101185,-1000,245.425873323,172.201474334,143.341061043,177.85235739
177,5,188.440101185,-1000,224.95990907,118.788086762,118.788086762,177.85235739
178,5,157.195299519,-1000,205.996282157,172.201474334,118.788086762,177.85235739
179,5,188.440101185,-1000,224.95990907,172.201474334,130.562632641,177.85235739
180,5,188.440101185,-1000,205.996282157,143.341061043,118.788086762,151.674941902
181,5,172.201474334,-1000,267.494282385,118.788086762,157.195299519,151.674941902
182,5,188.440101185,-1000,245.425873323,118.788086762,130.562632641,177.85235739
183,5,172.201474334,-1000,245.425873323,172.201474334,118.788086762,151.674941902
184,5,157.195299519,-1000,224.95990907,172.201474334,118.788086762,151.674941902
185,5,157.195299519,-1000,245.425873323,157.195299519,157.195299519,151.674941902
186,5,143.341061043,-1000,267.494282385,118.788086762,130.562632641,151.674941902
187,5,172.201474334,-1000,245.425873323,130.562632641,157.195299519,151.674941902
188,5,172.201474334,-1000,205.996282157,172.201474334,130.562632641,151.674941902
189,5,143.341061043,-1000,205.996282157,130.562632641,157.195299519,151.674941902
190,5,188.440101185,-1000,205.996282157,130.562632641,157.195299519,151.674941902
191,5,143.341061043,-1000,267.494282385,118.788086762,118.788086762,151.674941902
192,5,143.341061043,-1000,205.996282157,172.201474334,118.788086762,151.674941902
193,5,143.341061043,-1000,267.494282385,130.562632641,118.788086762,151.674941902
194,5,143.341061043,-1000,224.95990907,118.788086762,157.195299519,151.674941902
195,5,188.440101185,-1000,205.996282157,118.788086762,118.788086762,177.85235739
196,5,188.440101185,-1000,205.996282157,118.788086762,118.788086762,151.674941902
197,5,188.440101185,-1000,245.425873323,172.201474334,130.562632641,151.674941902
198,5,143.341061043,-1000,245.425873323,118.788086762,130.562632641,177.85235739
199,5,143.341061043,-1000,245.425873323,172.201474334,118.788086762,169.189657922
200,5,172.201474334,-1000,224.95990907,157.195299519,130.562632641,177.85235739
201,5,143.341061043,-1000,245.425873323,157.195299519,118.788086762,177.85235739
202,5,143.341061043,-1000,224.95990907,118.788086762,118.788086762,169.189657922
203,5,143.341061043,-1000,267.494282385,143.341061043,130.562632641,151.674941902
204,5,188.440101185,-1000,224.95990907,172.201474334,130.562632641,177.85235739
205,5,157.195299519,-1000,267.494282385,118.788086762,130.562632641,169.189657922
206,5,157.195299519,-1000,245.425873323,118.788086762,157.195299519,177.85235739
207,5,143.341061043,-1000,224.95990907,118.788086762,143.341061043,177.85235739
208,5,143.341061043,-1000,267.494282385,118.788086762,130.562632641,151.674941902
209,5,143.341061043,-1000,205.996282157,172.201474334,157.195299519,169.189657922
