cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,rssi_At5a,distance_At5a
2,-86.0,188.44010118476592,-1000,-1000,-92.0,316.86629158494924,-89.0,245.4258733233999,-84.0,157.19529951858468,-64.0,76.06612134489447
2,-86.0,188.44010118476592,-1000,-1000,-91.0,291.2706830479703,-86.0,188.44010118476592,-79.0,97.98282444405858,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-91.0,291.2706830479703,-85.0,172.20147433393572,-80.0,107.94950998807676,-66.0,96.4021832656627
2,-88.0,224.95990907027343,-1000,-1000,-90.0,267.49428238513224,-86.0,188.44010118476592,-80.0,107.94950998807676,-65.0,85.70987866437625
2,-83.0,143.34106104323652,-1000,-1000,-90.0,267.49428238513224,-84.0,157.19529951858468,-83.0,143.34106104323652,-65.0,85.70987866437625
2,-85.0,172.20147433393572,-1000,-1000,-86.0,188.44010118476592,-86.0,188.44010118476592,-83.0,143.34106104323652,-66.0,96.4021832656627
2,-85.0,172.20147433393572,-1000,-1000,-89.0,245.4258733233999,-85.0,172.20147433393572,-83.0,143.34106104323652,-66.0,96.4021832656627
2,-83.0,143.34106104323652,-1000,-1000,-90.0,267.49428238513224,-83.0,143.34106104323652,-84.0,157.19529951858468,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-83.0,143.34106104323652,-92.0,316.86629158494924,-65.0,85.70987866437625
2,-85.0,172.20147433393572,-1000,-1000,-88.0,224.95990907027343,-88.0,224.95990907027343,-89.0,245.4258733233999,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-83.0,143.34106104323652,-84.0,157.19529951858468,-67.0,108.23852042624587
2,-83.0,143.34106104323652,-1000,-1000,-91.0,291.2706830479703,-90.0,267.49428238513224,-90.0,267.49428238513224,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-87.0,205.9962821573771,-86.0,188.44010118476592,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-91.0,291.2706830479703,-83.0,143.34106104323652,-88.0,224.95990907027343,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-83.0,143.34106104323652,-86.0,188.44010118476592,-64.0,76.06612134489447
2,-83.0,143.34106104323652,-1000,-1000,-90.0,267.49428238513224,-82.0,130.5626326409025,-86.0,188.44010118476592,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-91.0,291.2706830479703,-84.0,157.19529951858468,-87.0,205.9962821573771,-66.0,96.4021832656627
2,-86.0,188.44010118476592,-1000,-1000,-92.0,316.86629158494924,-86.0,188.44010118476592,-82.0,130.5626326409025,-66.0,96.4021832656627
2,-85.0,172.20147433393572,-1000,-1000,-91.0,291.2706830479703,-81.0,118.78808676203266,-84.0,157.19529951858468,-67.0,108.23852042624587
2,-84.0,157.19529951858468,-1000,-1000,-92.0,316.86629158494924,-85.0,172.20147433393572,-86.0,188.44010118476592,-66.0,96.4021832656627
