cella,rssi_kpOU,rssi_Cvj5,rssi_cGTg,rssi_At5a,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-82,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-84,
7,-100,-100,-100,-84,
7,-100,-100,-100,-84,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-77,
8,-100,-100,-77,-92,
8,-100,-100,-76,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-92,
8,-100,-100,-77,-89,
8,-100,-100,-78,-92,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-91,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-78,-90,
8,-100,-100,-77,-92,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-77,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-88,
8,-100,-100,-78,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-92,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-92,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-92,
8,-100,-100,-77,-90,
8,-100,-100,-78,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-76,-91,
8,-100,-100,-78,-89,
8,-100,-100,-77,-89,
8,-100,-100,-78,-92,
8,-100,-100,-77,-91,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-90,
8,-100,-100,-77,-89,
8,-100,-100,-78,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-78,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-78,-92,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-88,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-77,-89,
8,-100,-100,-77,-90,
8,-100,-100,-77,-93,
8,-100,-100,-77,-90,
8,-100,-100,-77,-89,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-90,
8,-100,-100,-77,-91,
8,-100,-100,-77,-90,
8,-100,-100,-77,-88,
