cell,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,,
8,-81,118.7880868,-81,118.7880868,-83,143.341061,-78,88.82761509,-83,563.6774171,,
8,-76,72.72728276,-91,291.270683,-90,267.4942824,-84,157.1952995,-75,258.0977269,,
8,-89,245.4258733,-82,130.5626326,-83,143.341061,-78,88.82761509,-76,285.8338294,,
8,-90,267.4942824,-74,59.23224446,-85,172.2014743,-79,97.98282444,-79,385.2066499,,
8,-84,157.1952995,-74,59.23224446,-86,188.4401012,-76,72.72728276,-76,285.8338294,,
8,-85,172.2014743,-77,80.42696274,-88,224.9599091,-88,224.9599091,-74,232.7349874,,
8,-74,59.23224446,-85,172.2014743,-86,188.4401012,-94,373.9897751,-73,209.5705386,,
9,-86,188.4401012,-67,27.59154334,-82,,-80,107.94951,-74,232.7349874,,
9,-75,65.67816922,-78,88.82761509,-87,205.9962822,-83,143.341061,-76,285.8338294,,
9,-83,143.341061,-70,38.63088335,-81,118.7880868,-89,245.4258733,-87,810.2065202,,
9,-77,80.42696274,-76,72.72728276,-80,107.94951,-89,245.4258733,-78,349.1837054,,
9,-80,107.94951,-72,47.97472615,-92,316.8662916,-83,143.341061,-78,349.1837054,,
9,-93,344.3982309,-74,59.23224446,-84,157.1952995,-82,130.5626326,-71,169.1896579,,
9,-92,316.8662916,-66,24.58334547,-90,267.4942824,-88,224.9599091,-87,810.2065202,,
9,-84,157.1952995,-63,17.2079086,-84,157.1952995,-85,172.2014743,-92,1246.446046,,
9,-86,188.4401012,-69,34.58635039,-80,107.94951,-82,130.5626326,-85,677.2343031,,
9,-80,107.94951,-69,34.58635039,-79,97.98282444,-77,80.42696274,-73,209.5705386,,
9,-85,172.2014743,-73,53.34501393,-90,267.4942824,-80,107.94951,-71,169.1896579,,
9,-80,107.94951,-66,24.58334547,-80,107.94951,-77,80.42696274,-75,258.0977269,,
9,-77,80.42696274,-74,59.23224446,-83,143.341061,-78,88.82761509,-75,258.0977269,,
9,-78,88.82761509,-65,21.86590278,-81,118.7880868,-84,157.1952995,-71,169.1896579,,
9,-89,245.4258733,-67,27.59154334,-79,97.98282444,-88,224.9599091,-75,258.0977269,,
